name,cname
Church of St John the Baptist,United Kingdom
Atcham Bridge,United Kingdom
West Finchley tube station,United Kingdom
The Iron Bridge Across The Debdon Burn 80 Metres North West Of Cragside,United Kingdom
Foss Bridge,United Kingdom
Belmont transmitting station,United Kingdom
Liverpool  Airport Hangar No. 2,United Kingdom
South Pier,United Kingdom
Kelso Bridge,United Kingdom
Shin Railway Viaduct,United Kingdom
Dunkeld Bridge,United Kingdom
Garva Bridge,United Kingdom
Turnpike Lane tube station,United Kingdom
Brydekirk Bridge,United Kingdom
Annan Bridge,United Kingdom
Stanmore tube station,United Kingdom
Knightsbridge tube station,United Kingdom
Uxbridge tube station,United Kingdom
North Greenwich tube station,United Kingdom
Tongland Bridge,United Kingdom
"Doune, River Teith, Bridge Of Teith",United Kingdom
Logierait Viaduct,United Kingdom
Glen Loy Aqueduct,United Kingdom
Imperial War Museum Duxford,United Kingdom
Upney tube station,United Kingdom
Greatham Bridge,United Kingdom
Old Exe Bridge,United Kingdom
Llandinam Bridge,United Kingdom
Crickhowell Bridge,United Kingdom
Llandrinio Bridge,United Kingdom
"Polhollick, Suspension Bridge",United Kingdom
"Cambus O' May, Suspension Bridge",United Kingdom
Persley Bridge,United Kingdom
"Cairndow, River Fyne Bridge",United Kingdom
Royal Bridge,United Kingdom
Bridge of Feugh,United Kingdom
"Old Deer, Abbey Bridge",United Kingdom
Invercauld Bridge,United Kingdom
The Palm House Botanic Gardens Stranmillis Road Belfast,United Kingdom
River Annan railway viaduct,United Kingdom
St Michael's Bridge,United Kingdom
"Dumfries, Suspension Bridge",United Kingdom
Threave House,United Kingdom
Tufnell Park tube station,United Kingdom
Feshie Bridge,United Kingdom
"Drochaid A' Bhuilg Bhuidhe, Wade Bridge",United Kingdom
"Old Bridge, Carrbridge",United Kingdom
Dulnain Bridge,United Kingdom
Old Nevis Bridge,United Kingdom
Greig Street Bridge,United Kingdom
Infirmary Bridge,United Kingdom
New Bridge,United Kingdom
"Bannockburn, New Road, Bannock Burn, New Road Bridge",United Kingdom
Beggarpath Bridge,United Kingdom
Old Manor Bridge,United Kingdom
Manor Bridge,United Kingdom
Gattonside Suspension Footbridge,United Kingdom
Priorsford Bridge,United Kingdom
Mousemill Old Bridge,United Kingdom
L.F. Wade International Airport,United Kingdom
Cowcaddens subway station,United Kingdom
Notting Hill Gate tube station,United Kingdom
West Street subway station,United Kingdom
Shields Road subway station,United Kingdom
National Gallery,United Kingdom
London Central Mosque,United Kingdom
Housesteads Roman Fort,United Kingdom
Lloyd's building,United Kingdom
Leytonstone tube station,United Kingdom
Brent Cross tube station,United Kingdom
Severn Bridge,United Kingdom
The Shard,United Kingdom
Liverpool Town Hall,United Kingdom
West Hampstead tube station,United Kingdom
Oakwood tube station,United Kingdom
Shepherd's Bush Market tube station,United Kingdom
Westbourne Park tube station,United Kingdom
Central Park tram stop,United Kingdom
M6 motorway,United Kingdom
Maida Vale tube station,United Kingdom
Kew Gardens,United Kingdom
Huddersfield Narrow Canal Pylon,United Kingdom
30 St Mary Axe,United Kingdom
St James’ Park,United Kingdom
Eton College,United Kingdom
Gateshead Millennium Bridge,United Kingdom
Tate Modern,United Kingdom
Royal Albert Hall,United Kingdom
Hampden Park,United Kingdom
Islington Tunnel,United Kingdom
Tate Britain,United Kingdom
Crookston Castle,United Kingdom
West India Quay,United Kingdom
West Silvertown DLR station,United Kingdom
Albert Bridge,United Kingdom
Redbridge tube station,United Kingdom
West Harrow tube station,United Kingdom
Northwick Park tube station,United Kingdom
South Wimbledon tube station,United Kingdom
Wimbledon Park tube station,United Kingdom
"St Alfege Church, Greenwich",United Kingdom
SIS Building,United Kingdom
M25 motorway,United Kingdom
Metropolitan line,United Kingdom
Bakerloo line,United Kingdom
Northwood Hills tube station,United Kingdom
The Rolling Bridge,United Kingdom
St Andrew's Cathedral,United Kingdom
London Underground,United Kingdom
Wast Hills Tunnel,United Kingdom
Pride Park Stadium,United Kingdom
Leeds Town Hall,United Kingdom
Totteridge and Whetstone tube station,United Kingdom
The Crystal Palace,United Kingdom
Victoria line,United Kingdom
Winchester Palace,United Kingdom
Millennium Stadium,United Kingdom
Widnes-Runcorn Transporter Bridge,United Kingdom
Newcastle railway station,United Kingdom
Central line,United Kingdom
Hampton Court Palace,United Kingdom
30 South Colonnade,United Kingdom
Piccadilly line,United Kingdom
Waterloo & City line,United Kingdom
Eilean Donan Castle,United Kingdom
Blenheim Palace,United Kingdom
Ibrox Stadium,United Kingdom
Conwy Suspension Bridge,United Kingdom
Pierhead Building,United Kingdom
Twickenham Stadium,United Kingdom
Circle line,United Kingdom
West India Quay Footbridge,United Kingdom
P&O Tower,United Kingdom
20 Fenchurch Street,United Kingdom
Bridge of Aspiration,United Kingdom
Antonine Wall,United Kingdom
District line,United Kingdom
Hammersmith & City line,United Kingdom
Rayners Lane tube station,United Kingdom
White City tube station,United Kingdom
Sudbury Hill tube station,United Kingdom
Adur Bridge,United Kingdom
Palestra,United Kingdom
Redbridge Town Hall,United Kingdom
London Paddington station,United Kingdom
Northern line,United Kingdom
Richmond Railway Bridge,United Kingdom
Borough Market Viaduct,United Kingdom
Farnborough Wind Tunnel No. 1,United Kingdom
Farnborough Wind Tunnel No. 2,United Kingdom
Farnborough Wind Tunnel No. 3,United Kingdom
Helix Bridge,United Kingdom
Poplar Station High-Level Walkway,United Kingdom
South Dock Pontoon Bridge,United Kingdom
Roding Valley,United Kingdom
Docklands Light Railway,United Kingdom
Golders Green tube station,United Kingdom
Birmingham Town Hall,United Kingdom
London King's Cross railway station,United Kingdom
Beach Lighthouse,United Kingdom
Conwy Railway Bridge,United Kingdom
Middlesbrough Transporter Bridge,United Kingdom
Crystal Palace transmitting station,United Kingdom
Lady Bay Bridge,United Kingdom
Lisnagarvey transmitting station,United Kingdom
400 kV Thames Crossing,United Kingdom
Strata SE1,United Kingdom
Royal Crescent,United Kingdom
Pan Peninsula East Tower,United Kingdom
Edinburgh Trams,United Kingdom
South Ealing tube station,United Kingdom
Bell Rock Lighthouse,United Kingdom
Derby Cathedral,United Kingdom
Radio City Tower,United Kingdom
Barbican Estate,United Kingdom
Arthington Viaduct,United Kingdom
Cairngorm Mountain Railway,United Kingdom
British Library,United Kingdom
Centre Point,United Kingdom
Wakefield Cathedral,United Kingdom
St Machar's Cathedral,United Kingdom
Euston Tower,United Kingdom
Southampton Central railway station,United Kingdom
Inverness Cathedral,United Kingdom
Sage Gateshead,United Kingdom
Maggie's Dundee,United Kingdom
Reebok Stadium,United Kingdom
Preston railway station,United Kingdom
Ewood Park,United Kingdom
Bradford Cathedral,United Kingdom
Tyne Bridge,United Kingdom
Bournemouth Pier,United Kingdom
Blisworth Tunnel,United Kingdom
Grand Pier,United Kingdom
Unilever House,United Kingdom
Union Bridge,United Kingdom
Urbis,United Kingdom
Monnow Bridge,United Kingdom
Leicester Square tube station,United Kingdom
Roman Baths,United Kingdom
Partick station,United Kingdom
St Columb's Cathedral,United Kingdom
Wills Memorial Building,United Kingdom
Manchester Town Hall,United Kingdom
Gloucester Cathedral,United Kingdom
Arsenal tube station,United Kingdom
Lindisfarne Castle,United Kingdom
Adam Viaduct,United Kingdom
Worcester Bridge,United Kingdom
Wales Millennium Centre,United Kingdom
Big Bridge,United Kingdom
Payne's Bridge,United Kingdom
Albert Memorial Clock,United Kingdom
Winchester Guildhall,United Kingdom
"Albion House, Liverpool",United Kingdom
"St Johns' College, Bridge Over Bin Brook Between Trinity And St John's Backs",United Kingdom
Garret Hostel Bridge Between Clare Bridge And Trinity Bridge On The Cam,United Kingdom
Myton Bridge,United Kingdom
Piccadilly Circus tube station,United Kingdom
Archway Bridge,United Kingdom
Shaldon Bridge,United Kingdom
Islington Town Hall,United Kingdom
St Olave's Bridge,United Kingdom
The Victoria Hotel,United Kingdom
Derwent Dam,United Kingdom
Crown Point Bridge,United Kingdom
Tyne pedestrian and cyclist tunnel,United Kingdom
Town Bridge,United Kingdom
Bournemouth Town Hall,United Kingdom
Llanthony Swing Bridge,United Kingdom
Silver Street Bridge,United Kingdom
Standedge Tunnels,United Kingdom
Museum of Scotland,United Kingdom
Lanyon Place railway station,United Kingdom
Greenwich Station (Incorporating Number 187),United Kingdom
Fullwell Cross Library,United Kingdom
Belfast Castle,United Kingdom
Brighton Pier,United Kingdom
Scottish Parliament Building,United Kingdom
Milton Keynes Central railway station,United Kingdom
Caernarfon Castle,United Kingdom
Start Point Lighthouse,United Kingdom
Forth Bridge,United Kingdom
High Speed 1,United Kingdom
Cannon Street Railway Bridge,United Kingdom
Skelton,United Kingdom
1 Cabot Square,United Kingdom
1 West India Quay,United Kingdom
5 Canada Square,United Kingdom
Almeida Theatre,United Kingdom
Blackfriars station,United Kingdom
Chester Roman Amphitheatre,United Kingdom
Causey Arch,United Kingdom
Southgate tube station,United Kingdom
Millennium Dome,United Kingdom
Millbank Tower,United Kingdom
CityPoint,United Kingdom
Brig o' Balgownie,United Kingdom
Canterbury Cathedral,United Kingdom
Paddington (Bishop's Road) tube station,United Kingdom
Wrexham Cathedral,United Kingdom
Newry Cathedral,United Kingdom
Long Bridge,United Kingdom
Felindre Bridge,United Kingdom
Claerwen Dam,United Kingdom
Cilgwrgan Bridge,United Kingdom
Former Penllwyn Tramroad Viaduct at Nine Mile Point,United Kingdom
SE portal of Conwy Railway Tunnel,United Kingdom
Ackergill Tower,United Kingdom
Canterbury Castle,United Kingdom
Clevedon Pier,United Kingdom
SEC Armadillo,United Kingdom
Mathematical Bridge,United Kingdom
Corporation Street Bridge,United Kingdom
Goldhawk Road tube station,United Kingdom
Edinburgh Festival Theatre,United Kingdom
English Bridge,United Kingdom
Bingley Five Rise Locks,United Kingdom
Byker Viaduct,United Kingdom
Byker Bridge,United Kingdom
Ontario Tower,United Kingdom
Pan Peninsula,United Kingdom
Marlowe Theatre (2nd),United Kingdom
West Pier,United Kingdom
Natural History Museum,United Kingdom
Willis Building,United Kingdom
Al-Rahma Mosque,United Kingdom
Madejski Stadium,United Kingdom
Kiyan Prince Foundation Stadium,United Kingdom
The Hawthorns,United Kingdom
Parliament Buildings,United Kingdom
Eastbourne Pier,United Kingdom
Craven Cottage,United Kingdom
Stadium of Light,United Kingdom
Laban Centre,United Kingdom
Buchanan Street subway station,United Kingdom
Hillhead subway station,United Kingdom
Dudley Ward Way,United Kingdom
Manchester Arndale,United Kingdom
Manchester Central Library,United Kingdom
Boleyn Ground,United Kingdom
Senedd building,United Kingdom
Bath Abbey,United Kingdom
Belfast City Hall,United Kingdom
Paddington (Praed Street) tube station,United Kingdom
Newport Cathedral,United Kingdom
Mumbles Lighthouse,United Kingdom
"Bow Bridge, Cumbria",United Kingdom
Newport railway station,United Kingdom
Bridge of Sighs,United Kingdom
Tay Road Bridge,United Kingdom
University of Oxford,United Kingdom
Acton Town tube station,United Kingdom
Glasgow Central Mosque,United Kingdom
Peckham Library,United Kingdom
The Lowry,United Kingdom
Glasgow Tower,United Kingdom
Clyde Tunnel,United Kingdom
London Planetarium,United Kingdom
Admiralty Arch,United Kingdom
Birmingham Central Library,United Kingdom
Bridge of Dee,United Kingdom
Westerglen transmitting station,United Kingdom
Dubris Pharos,United Kingdom
Kew Bridge,United Kingdom
Dungeness Lighthouse,United Kingdom
Europa Point Lighthouse,United Kingdom
Longships Lighthouse,United Kingdom
Peninnis Lighthouse,United Kingdom
Stockton and Darlington Railway,United Kingdom
North Bridge,United Kingdom
99 Bishopsgate,United Kingdom
Buckingham Baptist Chapel,United Kingdom
Molineux Stadium,United Kingdom
Skye Bridge,United Kingdom
Liverpool Overhead Railway,United Kingdom
Barbican tube station,United Kingdom
Covent Garden tube station,United Kingdom
Southwark tube station,United Kingdom
Norwich railway station,United Kingdom
Salisbury Cathedral,United Kingdom
Lincoln Cathedral,United Kingdom
Queen Elizabeth II Centre,United Kingdom
Stonehenge,United Kingdom
Star Castle,United Kingdom
Derry railway station,United Kingdom
Hartlepool railway station,United Kingdom
Great Pagoda,United Kingdom
Balmoral Castle,United Kingdom
York city walls,United Kingdom
Buckingham Palace,United Kingdom
Dryburgh Bridge,United Kingdom
Windsor Castle,United Kingdom
Oval tube station,United Kingdom
Hereford Cathedral,United Kingdom
Cardiff Arms Park,United Kingdom
Torridge Bridge,United Kingdom
Millennium Bridge,United Kingdom
Clachan Bridge,United Kingdom
102 Petty France,United Kingdom
111 Piccadilly,United Kingdom
16 Cook Street,United Kingdom
"17 & 19 Newhall Street, Birmingham",United Kingdom
Westminster Bridge,United Kingdom
Holborn Viaduct,United Kingdom
Raby Castle,United Kingdom
1 Princes Dock,United Kingdom
88 Wood Street,United Kingdom
Abingdon Bridge,United Kingdom
Addington Palace,United Kingdom
Albion Riverside,United Kingdom
"Ruined Cathedral Church of St Michael, Coventry",United Kingdom
All Hallows-on-the-Wall,United Kingdom
All Hallows Staining,United Kingdom
All Saints Church,United Kingdom
Almond Aqueduct,United Kingdom
Altitude 25,United Kingdom
Altolusso,United Kingdom
Putney Bridge,United Kingdom
Winchester Cathedral,United Kingdom
Annan railway station,United Kingdom
Anniesland Court,United Kingdom
Ruislip Manor tube station,United Kingdom
Appleford Railway Bridge,United Kingdom
Ashness Bridge,United Kingdom
City of Manchester Stadium,United Kingdom
Attenborough Building,United Kingdom
Austins,United Kingdom
Avon Aqueduct,United Kingdom
Avonmouth Bridge,United Kingdom
BT Tower,United Kingdom
Ballochmyle Viaduct,United Kingdom
Baltic Centre for Contemporary Art,United Kingdom
Barmouth Bridge,United Kingdom
Barnsley Town Hall,United Kingdom
Barrow-in-Furness Town Hall,United Kingdom
Barton Road Swing Bridge,United Kingdom
Richmond Bridge,United Kingdom
Beauchief Abbey,United Kingdom
Beckfoot Bridge,United Kingdom
"Beetham Tower, Liverpool",United Kingdom
Belfast City Hospital,United Kingdom
Bermuda Railway,United Kingdom
Bewdley Bridge,United Kingdom
Bilsdale transmitting station,United Kingdom
Bispham Parish Church,United Kingdom
Black Potts Railway Bridge,United Kingdom
Marlow Bridge,United Kingdom
Blaenplwyf transmitting station,United Kingdom
Blaydon Bridge,United Kingdom
Blue Bridge,United Kingdom
DW Stadium,United Kingdom
Bourne End Railway Bridge,United Kingdom
Bow Church,United Kingdom
Bradford City Hall,United Kingdom
Braunstone Gate Bridge,United Kingdom
Bridgegate,United Kingdom
Brig o' Doon,United Kingdom
Bruce Tunnel,United Kingdom
Brunswick Centre,United Kingdom
Brynglas Tunnels,United Kingdom
Bute Building,United Kingdom
Bridgewater Place,United Kingdom
Britannia Stadium,United Kingdom
Waterloo Bridge,United Kingdom
Caerleon Bridge,United Kingdom
Caledonian Railway Bridge,United Kingdom
One Canada Square,United Kingdom
Cunard Building,United Kingdom
Caradon Hill transmitting station,United Kingdom
Cardiff Crown Court,United Kingdom
Cardiff Market,United Kingdom
Cardinal Place,United Kingdom
Carnon viaduct,United Kingdom
Cathedral Green Footbridge,United Kingdom
Port of Liverpool Building,United Kingdom
Caversham Bridge,United Kingdom
Chester Castle,United Kingdom
Holyrood Palace,United Kingdom
Central Station,United Kingdom
Centre for Life,United Kingdom
Glasgow Subway,United Kingdom
Battersea Railway Bridge,United Kingdom
Chirk Aqueduct,United Kingdom
Lichfield Cathedral,United Kingdom
"Church of St. Walburge, Preston",United Kingdom
St Andrew's Church,United Kingdom
Cineworld Glasgow Renfrew Street,United Kingdom
Clackmannanshire Bridge,United Kingdom
Clacton Pier,United Kingdom
Cleddau Bridge,United Kingdom
Westferry,United Kingdom
Clifton Aqueduct,United Kingdom
Clifton Hampden Bridge,United Kingdom
Clonard Monastery,United Kingdom
Cobden Bridge,United Kingdom
Cobweb Bridge,United Kingdom
Colmore Gate,United Kingdom
Beacon Tower,United Kingdom
Congress Theatre,United Kingdom
Connel Bridge,United Kingdom
Corbridge Bridge,United Kingdom
Cosgrove aqueduct,United Kingdom
Cricklade Town Bridge,United Kingdom
Crowne Plaza Liverpool John Lennon Airport Hotel,United Kingdom
Croydon Clocktower,United Kingdom
Crumlin Viaduct,United Kingdom
Turnham Green tube station,United Kingdom
Wells Cathedral,United Kingdom
"Dargan Bridge, Belfast",United Kingdom
Darvel transmitting station,United Kingdom
Dean Bridge,United Kingdom
Wellington Arch,United Kingdom
Drapers' Gardens,United Kingdom
Echo Arena Liverpool,United Kingdom
Angel tube station,United Kingdom
Durris transmitting station,United Kingdom
East End Light,United Kingdom
Edinburgh International Conference Centre,United Kingdom
New Brighton Tower,United Kingdom
Finsbury Park railway station,United Kingdom
"St Mary le Strand, Westminster",United Kingdom
Empress State Building,United Kingdom
Erskine Bridge,United Kingdom
Eton College Chapel,United Kingdom
Euston Arch,United Kingdom
Evelina Children's Hospital,United Kingdom
Spinnaker Tower,United Kingdom
Eysey Footbridge,United Kingdom
Pontoon Dock DLR station,United Kingdom
Five Ways Tower,United Kingdom
Eddystone Lighthouse,United Kingdom
Folly Bridge,United Kingdom
Fountains Hall,United Kingdom
Framwellgate Bridge,United Kingdom
Crowland Abbey,United Kingdom
Royal Opera House,United Kingdom
Friarton Bridge,United Kingdom
Gasworks Bridge,United Kingdom
Gatehampton Railway Bridge,United Kingdom
Gaunless Viaduct,United Kingdom
Lovell Telescope,United Kingdom
Gibbs Hill Lighthouse,United Kingdom
Glamorgan Building,United Kingdom
Glasgow City Chambers,United Kingdom
Glasgow Royal Concert Hall,United Kingdom
Magdalen Bridge,United Kingdom
The Great Glasshouse,United Kingdom
Grand Hotel,United Kingdom
"Grand Pier, Teignmouth",United Kingdom
Grand Theatre,United Kingdom
"Grand Theatre, Swansea",United Kingdom
Great Western Railway Usk bridge,United Kingdom
Greenwich Power Station,United Kingdom
Greywell Tunnel,United Kingdom
Grimsby Dock Tower,United Kingdom
"Guildhall, Derry",United Kingdom
Hanging Bridge,United Kingdom
Queen's House,United Kingdom
Clarence House,United Kingdom
"Bridge, Bridge Street, Cruden Bay",United Kingdom
Hart's Weir Footbridge,United Kingdom
Haverfordwest transmitting station,United Kingdom
Haymarket,United Kingdom
Heathrow Terminal 4 railway station,United Kingdom
Hillingdon tube station,United Kingdom
8 Canada Square,United Kingdom
Hadrian's Wall,United Kingdom
Highcliffe Castle,United Kingdom
Hindhead Tunnel,United Kingdom
Ely Cathedral,United Kingdom
Balham tube station,United Kingdom
All Hallows-by-the-Tower,United Kingdom
Menai Suspension Bridge,United Kingdom
Needles Lighthouse,United Kingdom
Holt Fleet Bridge,United Kingdom
Hull Minster,United Kingdom
Bishop Rock Lighthouse,United Kingdom
Hownsgill Viaduct,United Kingdom
Huckford Viaduct,United Kingdom
City Ground,United Kingdom
Hull Maritime Museum,United Kingdom
Hull New Theatre,United Kingdom
Hulme Arch Bridge,United Kingdom
Hyatt Regency Birmingham,United Kingdom
Eden Project,United Kingdom
Chigwell,United Kingdom
Blackpool Airport,United Kingdom
Iffley Lock,United Kingdom
